中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
福地喜腾龙喜庆沂蒙开胜象,老区兴热土虎跃龙腾锦绣山川开画景
东方古国红旗舞,大路长征骏马驰
万紫千红花竟艳,飞鸣比翼鸟争春
九陌晴光行处好,六合春色望中新
红梅献岁鹊立枝头歌盛世,绿柳迎春莺穿陌上唱中兴
江山似锦呈异彩,大地皆春映朝晖
月中玉兔下凡界,陌上金鸡报晓春
风景秀丽五洲好友慕名至,江山多娇四海佳宾接踵来
为江山添秀色,与日月争光辉
十亿神州共驰千里马,四化建设更上一层楼
倡廉反腐党基固,重教兴科国力强
大业有成瑞雪皑皑辞岁去,节气更替红梅点点唤春来
平安富贵财源进,发达荣华事业兴
虎岁三十爆竹脆,兔年初一对联红
虎跃龙腾碧海黄山玉宇,莺歌燕舞春风旭日神州
新岁新光新景,春风春雨春花
卯门生紫气,兔岁报新春
花香四季,月满一轮
鼓雄风再展中华昌盛景,树壮志开创神州富贵天
岁月千年留正气,江山万里聚和风
鸡唱月归一线长天皆瑞霭,犬歌日出九州大地尽朝晖
国华光汉宇,和气煦神州
勤俭是径脱贫早,改革为梯致福先
十亿神州争飞跃,万里河山展宏图
骏马四蹄击鼓,羚羊双角开春
勤劳俭朴心灵美,礼让谦诚品德高
星灿前程民致富,旗扬特色国兴隆
人勤春光美,家和喜事多
气正风清五岳长安祥鹊舞,帆高水阔三江久治瑞云飞
和谐社会祥云聚,康乐人家笑语飞
冬去春来锦绣山河放异彩,涛走云飞峥嵘岁月纳同心
树吐新芽含秀意,党持德政著新篇
胸怀祖国利益坚持真理,甘当人民公仆不搞特权
大地回春果正繁,东风送暖花先发
因特网中歌富裕,传呼机里报平安
古渡桥头铺锦绣,新居院里启仁风
普天开景运,大地沐春晖
雨润神州千顷绿,风苏大地万山红
马踏春锦绣,莺歌世风流
发家致富勤为本,教子成龙德在先
兰芳春日,桂馥秋风
两制生辉赤子归来慈母愿,九州壮色雄狮已醒普天娇
欣逢盛世精神爽,喜庆神州日月昌
鸾翔凤舞北疆好,虎跃龙腾西部兴
五风十雨皆为瑞,一岁双年总是春
梨花怒放千重锦,杏蕾腾喧万里春
勤俭穷变富,苦干土成金
对酒歌盛世,举杯庆升平
爆竹传笑语,腊梅吐幽香
建设文明新世纪,投身改革大潮流
到处山欢海笑,遍地虎跃龙腾
老骥常存千里志,夕阳惯照万重山
邦基永固农为本,国运长兴教领先
果熟粮丰呈富岁,花红柳绿饰新楼
柳眼含情俱春燕,杏花嬉笑倚东风
改革鲜花开遍三山五岳,文明硕果结满万户干家
两制并存乾坤大,三通互惠日月新
大地春光花竞秀,神州瑞霭物呈样
在圣班师一路凯歌笳鼓竞,雄鸡振翅几声雅唱瑞云生
人间万象转,天地一家春
鸡描竹叶三中颂,犬绘梅花五福临
崇俭尚勤家声振,祛邪扶正国运昌
玉龙吐宝庆吉日,金凤含珠贺新年
盛世花鲜香祖籍,丰年酒美醉家园
龙腾四海昭新纪,狮舞千乡壮国威
马岁已催千里马,羊年再做领头羊
福娃献宝十亿共醉和谐酒,喜神降瑞万里同浴艳阳天
瑞猪祈福迎春全面小康时可待,大众燃情创业共同富裕日堪追
虎跃神州千业旺,春临盛世万民欢
春风一笑花千树,紫燕三歌柳万条
春风有意千山绿,旭日无私万物荣
曼舞酣歌庆盛世,欢天喜地迎新春
佛法能破愚痴暗,学佛点燃智慧灯
克勤克俭奔富路,一心一意夺丰收
春风万里山山绿,旭日一轮处处红
祖国江天千古秀,人民生活万年长
立党为公执政为民盛世践行三代表,修身以德兴邦以法神州唱响两文明
门栽桃李延春暖,日驻桑榆爱晚晴
天开长乐,人到恒春
日丽彤墀四表光华瞻正朔,云凝宝仗万方歌舞庆同春
春风万里山河好,瑞柳千条日月娇
继往开来天更美,与时俱进日常新
千条杨柳随春绿,万串鞭炮视岁丰
国现三通歌大治,台归一统振中华
好景年年承国运,朝霞日日伴旗升
同求富裕展鸿志,共建文明领风骚
入世展新猷天马行空寰宇阔,出门观丽景玉龙嘘气水云深
宣扬回归自然世间应是青天碧野,制止污染环境生态还须走兽飞禽
两个文明花并蒂,一庭春色燕双飞
处处红花红处处,家家美酒美家家
红霞瑰丽铺云路,骏马奔腾荡柳烟
春新羊得草,世盛马加鞭
击节欢歌河清海晏,舒眉含笑人面桃花
老马识途终有意,羔羊跪乳最多情
昌盛中华开远景,和谐社会展宏图
鸡唱寰中改革大潮迎岁改,春临大地繁荣事业似花繁
长征气概千秋敬,仁德家邦万代崇
全面小康红火岁月,共同富裕和谐音符
山水有情皆着绿,城乡无处不飞红
比学赶帮超闪亮人生开大步,温良恭俭让和谐社会树新风
共庆春回大地,同歌喜到人间
马踏春风奔富路,旗扬特色耀新程
柳绿花红江山美,日新月异事业荣
合家欢乐财源进,内外平安好运来
锦绣江山添色泽,光明世界增辉煌
玉兔出行满天春色,山君归隐一路雄风
春山春水春色年年好,新事新人新风处处多
多福多财多光彩,好年好景好收成
青松翠竹万里河山春永驻,绿柳鲜花千层波浪事方兴
八秩铸丰碑河山披锦绣九州春色来天地,六中开盛景党政竞辉煌万里风光入画图
甘露无声绣出千红万紫,阳春有脚送来十雨五风
江山千古秀,华夏万年春
跃马扬鞭奔四化,挥毫泼墨赋三春
山水园林增秀色,农渔牧副展新容
鱼水情深同大海,军民意重若长城
移山填海描春手,揽月摘星造福人
高楼拔地伸民意,火箭升天扬国威
紫燕飞来寻玉兔,黄鹂唱起戏金龙
虎振雄风留浩气,兔迎盛世启新程
桃红柳绿春光好,燕舞莺歌景色新
春风送暖千山绿,时雨润花四季红
国家安定千般好,春日融和万象新
满园春色催桃李,一片丹心育新人
烂漫红梅迎旭日,轻盈绿柳舞春风
祖国欢腾江山一统,澳门豪迈世纪千年
柳眼桃腮舒化日,莺歌燕舞闹春风
阳春燕舞,华夏龙兴
新骏扬鞭奔大道,亲朋酌酒贺丰年
九州伟业辉天地,百族新篇铄古今
一夜连双岁,五更分二年
政廉人心暖,法严国运昌
月异日新不少羊肠成大道,春和景泰好多蜗舍变高楼
风吹杨柳千门绿,雨滋桃杏万户红
花木四时秀,庭院满眼春
会心传喜事,迎面笑春风
万民欢度小康日,举国喜迎大有年
荆荷蕊吐双珠灿,棠棣花开四海香
人欢马叫,春和景明
留胜迹水秀山明草茂,谱新歌羊肥马壮春荣
人和政善千家乐,国泰民安百业兴
神笔马良画彩骏,慧眸伯乐选名驹
胭脂倾地花千里,翡翠垂塘柳万株
聚力宏图千载业,凝心喜报六合春
艰辛创业沧桑变,科技兴邦岁月新
化臻上理,福享共和
华夏隆兴扬特色,宏图大展赖英才
犬岁欢歌飞大地,猪年美景满神州
天增岁月地增产,春满城乡福满楼
掌万家灯火为江山生色,看一派光明让日月增辉
龙腾九万里,国步二千年
晴空好展青云翅,重彩难描赤县天
四化宏开千古美,九州大展万年新
虎去犹留猛劲,兔来更显捷才
克勤克俭,为国为民
科技花香凝一处,富裕果甜盈万家
妙曲吹开百花艳,神姿舞得万马腾
堂开晓日光中好,人坐春风分外清
多情喜鹊枝头唱,如意梅花雪里开
绿柳迎春舞,红花应节开
骏马奔腾春色丽,艳阳照耀岁华新
文体英才挥彩笔,艺苑新秀唱颂歌
九州雨顺千山绿,六合风调万户丰
人心安定华夏千山竞秀,国运昌隆神州万木争荣
尊师重教兴伟业,富国强民谱新章
欢庆高居大厦,喜迁遥念亲人
福到门庭梅吐艳,马驰道路柳生烟
家有福星四面照,财如人意八方来
民意尚清廉六中精神合民意,人心兴社稷三个代表顺人心
奋志求成励精图治,与时俱进开拓创新
春风吹拂文明路,科技振兴富裕村
彩云不锁乡关梦,东海难分骨肉情
国富星辰耀彩,政清日月生辉
建立沿海特区已使东南花似锦,吹响进军号角再教西北土成金
一帆风顺前程远,万事皆成幸福长
继往开来兴骏业,承先启后蔚人文
勤是摇钱树,俭为聚宝盆
春回大地花千树,雨润神州果满枝
龙腾虎跃迎新纪,凤集鸾翔展壮猷
银蛇喜送峥嵘岁,骏马欣迎锦绣春
阳回律转春风劲,政善人和国运昌
春风惠我千山绿,时雨宜人五谷丰
伟业宏图小康路,良辰美景大有年
人来人往皆笑脸,店内店外俱欢欣
兴邦有法千般好,为政无私万里春
甲第宏开他造府,子年兴旺我修楼
岁月逢春花千树,人民得意力万钧
花香满院春风至,喜气盈门幸福来
鸟语花香歌盛世,龙腾虎跃奔小康
和和睦睦亲邻里,大大方方待友朋
翠竹千支歌盛世,红梅万点报新春
惠风和畅千山秀,春光明媚万家欢
天下皆乐人长寿,四海同春树延年
五羊争献瑞,万马喜留春
柳下清琴皓月,花前益鸟春风
金牛奋蹄开锦绣,乳虎添翼会风云
春风轻拂千山绿,旭日东升万里红
四十春秋称鼎盛,五千岁月灿文明
春回大地山清水秀风光好,日暖神州人寿年丰喜事多
想当日家无隔夜粮苦嫦娥奔月,看今朝柜有陈年酿香玉帝思凡
港澳归宗存范式,台澎返棹莫迟疑
看祖国江山如画,喜神州绿野同春
勇奔新世纪,乐做大文章
开放时时增异彩,改革处处换新天
大地回春花千树,大地年年春光好
大地三春永驻,神州两制长存
廉洁奉公芳百世,贪脏枉法臭千秋
春染万花蕊,风香两岸人
香飘四季,春满九州
雄文五卷,伟业千秋
东风引紫气,大地发春华
梅绽香风远,柳摇春意浓
春风荡暖三江水,红日照开万树花
风中绿柳迎春笑,雪里红梅斗艳开
久客又新春五夜每怀臣里梦,一郎仍故我卅年空吃帝乡尘
政善山河美,天清日月明
兔年笔发花娇艳,龙岁图新伟业长
水流新韵山流翠,竹报平安梅报春
花繁红影碎,叶密绿阴青
有天皆丽日天增岁月人增寿,无地不春风春满乾坤福满门
鞭炮声声为新春喝彩,雪花片片替旧岁辞行
家庭幸福人人乐,社会和谐处处春
国展宏图春献彩,人奔大道日驱车
六畜兴旺,五谷丰登
人逢盛世精神壮,虎跃奇峰气势雄
一展宏图九州丽,八方瑞气五谷丰
衣丰食足戌年乐,国泰民安亥岁欢
致富争当领头雁,扶贫乐作孺子牛
福星高照,万事亨通
申奥功成入世关通一年好景蛇辞岁,兴邦业举富民旗展万里雄图马跃春
日月倾情弹四水三江唱百族人民和谐曲,乾坤焕彩调十光五色描万里神州富强图
犬效丰年家家富,鸡鸣盛世处处春
以廉治政政长治,凭德安邦邦久安
家家喜饮小康酒,处处欢歌大有年
长风劲送千帆远,百鸟齐鸣万木春
岁岁三春得意,年年万事开心
春到千山秀,花开万里香
虎跃龙腾兴邦踏上康庄道,山欢水笑造福迎来锦绣春
描千里春色百花争艳,绘四化宏图万马奔腾
东风浩荡四时泰,春日融合万象新
两日子时聚一年年年同庆,一夜三更分两岁岁岁平安
得意春风生万物,及时甘雨奋群英
喜醇凝喜气天喜地喜人民喜,红烛映红光国红家红事业红
一家瑞气,万里春光
水陆舟车四通八达,城乡客货纷至沓来
固国体厚国基兴农为首,淳民风启民智重教优先
岁焕新风燕剪柳,春来大地羊铺云
爆竹花开灯结彩,春江柳发岁更新
花团锦簇春光艳,科技腾飞国运昌
犬保平安随腊去,猪生财富报春来
马啸英雄浩气,羊鸣世纪春光
戍日耀吉瑞,狗年臻福祥
祥云捧日江山盈淑景,瑞气凝春社稷溢华光
一代英雄除腐败,千秋豪杰重清廉
紫气东来门结彩,红旗招展国生辉
新年初气,古国雄风
春风吹绿,江山映红
彩云追月萦桑梓,游子寻根探祖亲
栽花种树春光美,播雨耕云事业兴
逢春岁月花千树,得意人民力万钧
岁又更新喜时雨宜人春风惠我,民方致富幸文明化俗科技兴邦
物华天宝日,人杰地灵时
祈福应知福福祉常缘善念,盼春该识春春光永驻仁心
庆一元肇始,祝四化图新
瑞雪迎春千家暖,喜财临门万事兴
瑞气盈门增富贵,春风入户报平安
全民扬正气,举国颂清平
九州锦绣添春色,四海升平颂党恩
新世纪曙光初照,大前程赤日高悬
新纪马年欣吉利,锦春羊岁祝平安
大地回春看大好河山皆成锦绣,长天吐瑞喜长恒图祚永放光华
共展宏图开放招来珠履客,同兴伟业革新造就锦囊才
兴邦承伟略,富国赖良谋
啼莺语燕多成韵,雨竹风蕉亦为歌
社会隆昌唯道义,家庭富足看文明
色借梅花香借雪,壮观骏马美观春
春种遍地绿玉,秋收满仓黄金
比翼连枝同致富,齐眉举案共安康
连年好景随春到,不尽财源贺岁来
厚德载物普天华夏迎春庆,立法匡国沃野神州与日兴
把酒临风同醉月,兴家创业共迎春
祖国江山春万里,人民岁月福千秋
祥光满眼,红运当头
丹桂花开丹桂树,凤凰鸟语凤凰城
深冬还似铁,佳节正如梅
蔗甜应记梢头苦,春暖预防域外寒
春风得意千山秀,政策归心万家欢
广栽科技摇钱树,大铸人才聚宝盆
鲜花沾春雨,好鸟舞东风
招聘制百业兴旺,责任田五谷丰登
花迎喜气皆知笑,鸟识欢声亦解歌
一轮日出云霞丽,万里春归世纪新
同赋小康对,共书大有年
有国才有家国家至上,兴家先兴国家国攸关
夜雨书声静,春风墨韵浓
北岭春深宜牧马,南疆草浅待牵羊
春风万里山河好,盛世百行气象新
春风得意桃花醉,时雨宜人柳色新
与山同静,随地皆春
春风化雨迎稔岁,政策归心乐新程
风尘一路马蹄碎,爆竹千家春意浓
春风得意山河丽,政策英明大地新
千毫竞写小康赋,万户争悬大有联
岁岁平安闻爆竹,家家幸福赏春联
生财树绿春风劲,致富花红喜雨滋
飞红点翠指春色,结彩张灯庆丰年
人间唱响和谐曲,金豕迎来富贵春
祖国共天地同寿,江山与日月争辉
大兴特色神州地,独领风骚一代人
春花烂漫香都市,德雨和谐润庶民
时雨春风五羊献穗,尧天舜日百凤朝阳
党倡清廉民得福,家趋富裕国臻强
扬鞭策马开新纪,立志兴邦展壮猷
把酒对东风南浦朝霞迎远客,昂头瞻北斗燕山旭日照前程
福降神州万里河山生秀色,春回寺地八方黎庶沐朝晖
双手茧花结出丰收果,一身汗水浇开幸福花
春雨如酥开梅蕊,繁花似锦染红霞
风雷激荡舒清景,岁月峥嵘聚太和
马壮羊欢丰年景,山青水秀盛世图
金土地丰收有望,好家庭幸福无边
金牛辞旧携凯歌而去,乳虎迎春带捷报新来
挥毫凤舞千山秀,泼墨龙飞万水明
龙骧风翥山川秀,国富民欢福寿长
开心美酒梅花酿,得意春风燕子催
与各洲建交和时代同行跃虎腾龙轨接全球圆富梦,向西部要宝朝北方送水掀天揭地图开新纪竞风流
伟大祖国蒸蒸日上,锦绣河山欣欣向荣
神传天外诗无草,春到人间笔有花
梅开岁首三春丽,花放枝头万里香
碧草白羊三春图画,金戈铁马万里征途
花放东风香万里,柳舒时雨绿三分
门盈紫气迎新富,室满春光步小康
举杯畅饮丰收酒,向党高吟幸福诗
瑞气盈庭一门兴旺,甘霖沃野五谷丰登
帘开燕语春色美,风流云散夕阳娇
年年桃李春华茂,代代江山景色娇
梅报九州春色,旗开一代风流
漫天瑞雪飘飘洒洒献舞开放日,遍地烟花噼噼叭叭讴歌改革年
风度竹流韵,马驰春作声
两岸共迎春一统前程花似锦,九州同祝酒千秋大业固如磐
梅开五福,竹报三多
龙贺岁凤还巢满眼春光处处新元景,鹊登枝梅吐蕊千秋大业时时锦上花
风和日丽三春暖,政善人勤百业兴
春风万里辞蛇岁,笑语千家入马年
希望寄马年马驮希望奔腾来未来更好与时俱进再谱新篇厚礼献迎十六大,丰收话蛇岁蛇献丰收载舞去过去真优向上奋追频传捷报雄风飞越两千年
舜日尧天万民增福泽,和风甘雨四海沐春晖
春回大地,日暖人间
岁稔千门瑞,时和万户欢
春暖群芳喜,风清百鸟鸣
景象万千春似锦,英雄十亿气如虹
喜地喜天盈喜气,新春新喜漾新风
虎啸风声远,龙腾海浪高
江山万里迎风暖,桃李三春映日红
富裕家家喜,和谐户户春
日出乾坤秀,春来草木娇
和睦人家春常在,勤劳门第富有余
紫笋破冰辞旧岁,红梅得意闹新春
伯乐选贤识骏骥,英雄酬志效鲲鹏
爆竹两三声人间是岁,梅花四五点天下皆春
一代英雄业,九州世纪春
平安竹长千年碧,富贵花开一品红
沂水长润万物秀气,蒙山高纳百福灵光
万里江山披锦绣,百年世纪竞风流
技术发家乐无尽,科学种田庆有余
春霖降大地有情迎盛世,瑞雪舞苍穹着意报丰年
春催桃李千山秀,雨润芝兰万里香
虎岁扬威兴骏业,兔毫着彩绘宏图
勤劳走出发家路,科技敲开致富门
瑞雪迎春处处春,东风送暖家家暖
岁月逢春山河添锦绣,人民思治龙虎振精神
世盛江山稳,政廉气象新
亿万高炉华夏天天除旧貌,百千铁汉神州日日换新颜
家和万事兴互敬常从微处见,邻睦千秋好相谐总自乐中来
东风劲吹人间暖,红日高照大地春
江山呈秀春不老,杨柳多姿燕常飞
桃红复含春色,柳绿更带朝烟
桃杏满树春似锦,芝兰绕砌座凝香
攻书创业勤为贵,廉政治国德乃馨
龙腾虎跃人间景,鸟语花香天地春
承包丕振鲲鹏志,改革宏开富贵花
万顷芙蓉新出水,千条杨柳绿迎春
设计匠心独运,铸机妙手成春
守信则荣童叟无欺商贾道,精诚可嘉德才兼备栋梁人
大地回春风光胜昔,山川添秀岁月更新
台湾当归,祖国统一
日丽风和春及第,花香鸟语福临门
九州安定,万众团结
三阳开泰生机畅,九天增辉喜气盈
华夏迎春城乡同喜庆,校园溢美桃李竞芬芳
家家户户欣致富,女女男男乐升平
猪为六畜首,农乃百业基
捷报频传喜盈眉宇,凯歌高奏甜进心窝
春临大地,福满人间
港澳回归书壮史,中华崛起著鸿篇
马岁事事合民意,羊年处处沐春风
善始善终行事莫留蛇尾,同心同德兴邦须借马威
九州百业皆生意,万紫千红总是春
鲲鹏展翅扶羊角,莺燕欢歌送马蹄
清溪吟雅韵,皓月洒春晖
花木朝阳千古秀,工农向党万年昌
饭热菜香贵客盈门庭似市,言甜情厚高朋满座店如春
新年启新运,佳节迎佳人
爆竹声声辞旧岁,春联户户迎新春
日丽远山含淑气,晴烘芳树蕴春晖
日上花梢,莺穿柳带
大地回春红艳艳,神州贺岁乐悠悠
一派正气,两袖清风
国泰民安歌盛世,年丰人寿庆新春
锦绣江山画,风流世纪春
泼墨挥毫歌盛世,树碑立传颂雄才
春入水光成嫩碧,日均花色变鲜红
兔留丰稔景,龙腾瑞气年
绿酒家家辞旧岁,红联处处报春光
小道羊肠无阻碍,雄心捷足好登攀
人寿年丰生活越来越好,风和日雨春光如画如诗
四化蓝图放异彩,九州捷报迎春来
听莺红杏曲,驻马绿杨荫
万紫千红呈九州春色,五讲四美照十亿心灵
爆竹千声歌盛世,梅花万点报新春
满天腊雪培元气,遍地春风唤生机
坚持原则按政策办事,深入实际同群众商量
自力更生创千秋大业,发奋图强造万代幸福
培养人才建百年大业,艰苦奋斗开一代新风
有情红梅报新岁,得意嫩柳招春风
桃李芬芳红艳艳,国家昌盛喜洋洋
云山添秀色,河海泛春潮
玉堂开春色,琼树发秋香
春盈四海千家乐,花漫九州万里娇
九州庆大治,万户乐小康
军民团结家家乐,党政清廉户户欢
小龙舞九州,大骥驰千里
千秋日月千秋亮,一代风骚一代歌
中华崛起春潮涌,骏业腾飞气象新
马步生风辞旧岁,羊毫挥墨写佳联
大地寒尽春光好,人民苦去幸福甜
春潮激荡英雄气,天地顿生世纪风
盛世催春梅笑雪,新元报喜鹤登枝
劳动门第春常在,勤俭人家庆有余
一天春雨梅花笑,万里东风战旗红
一家和睦一家福,四季平安四季春
骑马挎枪迎曙色,携春带福送人间
勤创九州伟业,诚招四海英才
微风斜燕影,绿柳乱莺声
旭日腾辉催四化,春风和畅展文明
勤俭人家先致富,向阳花木早逢春
歌吟盛世春常在,舞伴华年月更明
花锦堆红香燕垒,柳丝回韵织莺帘
明镜高悬江山千古秀,执法如山花木四时春
换旧符欢呼祖国瞳瞳日,开新宇喜看神州处处春
东南西北方方利,春夏秋冬季季红
绘我河山添彩笔,献身祖国出良谋
和弦齐奏平安曲,谐趣同迎幸福春
春为岁首,梅占花魁
春风送暖泽雨滋荣大地,佳节思亲黎民怀念小平
主欢客乐,近说远来
华夏年年开骏业,新春处处祝鸿喜
万里神州期合璧,一轮明月照归帆
清风喜打欢心鼓,绿水畅弹如意琴
灵蛇匿迹飞青霭,天马行空驾白云
春风春雨春光满,新岁新容新事多
吉祥如意全家福,恭贺新禧满堂春
四化归心开放策,亿民翘首太平春
春在心头东西自在,人行路上南北皆行
民奔小康路,国臻大治年
万里江山春处处,千家歌舞乐陶陶
京九长虹贯南北,沪榕高速接东西
养性修身持晚节,倡廉反腐树新风
岸柳垂春翻云绿,庭梅落雨化土香
梅香催腊去,燕翅携春来
万年北斗流星雨,百岁人寰世纪风
福星照吉宅新春家家乐,普天同欢度神州处处春
大海扬波歌永泰,群山起舞乐长春
雪挂松梅千山俏,风舞柳杨万水明
扬眉吐气收吾土,昂首挺胸对霸权
韶序启青阳煦回岁籥,祥光腾紫气庆溢仙闾
海峡同心一统江山人共盼,春风两岸团圆骨肉众相期
大治宏图河岳秀,小康前景岁时新
万里东风描绿地,一轮红日点苍天
清风两袖维廉政,道义双肩树楷模
无私无畏真君子,为国为民大丈夫
花开富贵年年秀,灯照吉祥岁岁明
社会和谐宽松环境民心畅,江山秀丽美好前程国祚祥
雪里梅花霜里菊,炉中宝剑火中钢
满腔热情迎旅客,一颗红心为人民
爆竹传吉语,腊梅吐幽香
无边春色百花艳,有庆年头万木春
财如旭日腾云起,富似春潮带雨来
四化凯歌盈大地,三中喜讯遍神州
国富民强乐尧天舜日,闾安岁稔欣时雨春风
老马识途奋驾长车奔富路,银蛇献岁昭苏万物舞东风
十五大东风浩荡神州万里山河壮,七千年文化昌明国计百年世纪新
改革同歌歌改革,迎春共乐乐迎春
与时俱进常先进,开拓创新永出新
得申奥运进世足入世贸,将请财神接运气取公平
燕舞莺歌新世纪,龙翔凤翥大中华
万国衣冠歌露湛,一门桃李觉春多
世纪春风萌绿草,山乡柳笛放群羊
耕田能获宝,养兔不守株
官怀大志向造福社稷,民建小康村笑傲天堂
治国同心施善政,兴邦大步迈小康
紫燕南来衔秀色,大江东去荡春潮
春色无边铺锦绣,江山多彩颂和谐
现代农民种地种出国外去,当今特产订单订到网中来
绿树红花山不老,欢歌笑语国长春
龙飞留荡漾祥云映神州壮美,蛇舞带铿锵吉乐催大众图强
善政惠民文明致富家家乐,春风入户科技兴农步步高
九州春风暖,四化伟业新
鸡为岁归留竹叶,犬因春到献梅花
阳春召我,淑气宜人
乍响春雷吉祥如意纷纭至,广滋时雨美满和谐络绎来
党风正派民心乐,法纪严明国运昌
三阳日照新居屋,五福星临发家门
最喜年春并至,堪欣福寿同增
百鸟鸣春春风盈大地,群龙献瑞瑞气满神州
同奔四化,共奉一心
人情历尽心胸阔,世事经多眼界高
异水奇山新气象,小康大治好时光
青山绿水风云静,碧海蓝天日月明
人行正道家兴旺,党树新风国富强
社区和谐呈世美,邻里笃睦遇堂春
跨纪龙吟国运与时彰盛典,流年鸡唱家声翘楚领长风
嫩柳千姿秀,悄梅万态新
梅映红日,雪兆丰年
高天雪舞银蛇去,大地春归骏马来
绿柳千条征淑气,红梅万点缀新春
瑞气呈祥舒万物,财源有路富千家
老马奋蹄知路远,羔羊跪乳感恩深
展智施能雄心共创千秋业,扬鞭跃马矢志同奔万里程
大富文章由我做,小康生活任君求
莺识新机随日至,燕寻旧主带春来
社会繁荣臻大治,人民安乐庆升平
猴喜满园桃李艳,岁迁遍地春光明
对此文明世,联斯翰墨家
皆称飞虎一身胆,不负英雄千古名
龙飞凤舞升平世,马跃人欢锦绣程
春驻笔花万朵,云描淑景千番
雏鹰凌空当展兴华翅,老骥伏枥应怀报国心
雄风鼓四化,温暖送千家
春风梳柳,时雨润苗
党铺金路千家乐,政得民心万众欢
燕翻玉剪穿红雨,莺掷金梭破绿烟
山碧千峰竞翠,水清百舸争流
花开小院朝阳处,燕舞农家幸福时
岁通盛世,人肇华年
春暖风和日丽,年丰物阜民欢
芝兰自启山川秀,松柏长留天地春
大圣除妖天佛路,天蓬值岁兆丰年
天上星杓旋北斗,人间春信到东郊
登梅鹊唱全家福,耀眼花开大地春
一九九九民欢国庆,二零零零虎跃龙腾
三春淑气盈门室,万里祥光焕斗文
五岳昂扬期大统,六亲聚集颂英明
四有新人兴伟业,八方美景壮中华
张灯结彩迎新纪,把酒吟诗颂太平
万众一心齐努力,百舸千帆竟上游
齐鲁名城人文蔚起百里舆图兴骏业,和风丽景画卷宏开四方佳景涌春潮
瑞彩盈庭门聚香,祥光当户窗连辉
四海升平鱼龙出,九州安定风月新
牛奋千程荣盛世,虎驮五福贺新春
春色明媚神州千里秀,东风和熙祖国万年长
马岁荣光辉日月,羊毫遒劲续春秋
五秩兴华民富裕,廿年改革国昌隆
碧海青天千里秀,红楼绿树万家春
国仗方针兴特色,民凭政策上新阶
勤劳创业财源广,诚信经商富路宽
高歌庆新岁,强音颂早春
岁欲丰稔人欲富,民思安定国思强
普及文明仁里乐,弘扬道德义乡昌
三春日丽三春暖,两岸花香两岸亲
迎新春新途共勉,奔四化四海归心
屠苏酒祝千年福,大有歌欢猴岁丰
深山虎啸雄风在,绿野兔奔美景来
民安国泰千家乐,雨顺风调万事兴
春意盎然祖国山河千载秀,东风浩荡神州大地万年新
子年大有山河壮,甲岁丰盈日月新
时逢盛世猪如象,节到新春鱼化龙
西部欣斟开发酒,北疆乐咏富强诗
大地回春锦绣河山添异彩,征途跃马英雄儿女着先鞭
鱼跃鸟飞欣海宇,龙腾虎跃咤风云
娇黄嫩绿春前柳,淡白深红雨后花
正道经营财源广,文明待客生意隆
怀同霁月,量洽春风
小康生活蕊中蜜,大富前程锦上花
特色福州富四海,小康岁月乐千家
淑气凝和天上香浮簇仗,条风扇瑞宫中日永垂裳
云霞蔚彩新年添福寿,山水韶光秀色满乾坤
政通人和万里高天盈丽日,时合景春九州大地满春晖
雄鸡唱韵,大地回春
事在人为非在命,业由众创不由天
兴家有道儿孙福,创业无私手足情
栋梁砥华夏,桃李芳九州
三讲意如春青春彩焕蓝天下,两思心向日红日辉腾赤县中
虎啸千山声声响应,兔驰万里步步腾飞
浩荡春风催四化,峥嵘岁月迎长征
花木有情迎我笑,江山会意接春回
狗摇岁尾逐冬去,猪拱年头转运来
月圆常念家国,花好倍思眷亲
笑对春风谈喜事,乐邀瑞雪话丰年
马驰万里春光好,羊跃九州幸福来
虎跃龙腾三代英才开世盛,山青水秀九州春色泛桃红
削平山岭铺大道,跨越江河架宏桥
月因花好春有吉,气淑风和院无寒
政策英明百姓富,春风和畅万花荣
四时开新律,九州度瑞年
满园春色皆金碧,大地歌声焕彩霞
招手迎春春风拂面,抬头见喜喜气盈门
骏马生双翼,鸿图壮九州
桃李争艳,春色满园
四面八方开富路,千山万水拓财源
国富民殷羊毫挥颂千秋业,年丰人寿燕剪裁成万点春
大鹏展翅青云路,骏马奔驰浩荡春
金鸡歌大有,瑞雪征小康
水色山光阳春万里,花香鸟语丽景九州
华堂福降千家乐,大地春回百卉香
江山添秀色,大地换新颜
春到人间歌永乐,台归祖国庆团圆
梅柳谈天好,燕莺语地新
山川秀美万里神州皆锦绣,社会康宁千秋华夏更繁荣
金蛇喜舞九州富,骏马欢腾四海春
一身正气合民意,两袖清风顺党心
大地有声皆颂党,神州无处不呈样
国兴旺家兴旺国家兴旺,老平安少平安老少平安
雪我国耻还我主权港澳回归终有日,思于同胞恋于故土陆台统一最相期
金菊凌霜放,红梅傲雪开
户满春风春满户,门盈喜气喜盈门
火树银花春意闹,丰衣足食民心欢
四化宏图民气盛,百年耻雪国威扬
春光千秋春光美,江山万年江山红
日出神州张正气,春来华夏展宏图
腾海蛟龙频击浪,识途老马自扬蹄
大中国似蛟龙破雾雄心惊日月,古神州如骏马嘶风豪气壮河山
胸无点墨枉称富,腹有经纶方不贫
爆竹一声喜送巳蛇留庶绩,华灯万盏欣迎午马展嘉猷
